Date, Time, Open, High, Low, Last, Volume, OpenInt, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Annualized Volatility (%), Smoothed Volatility (%), 20% Level, 50% Level, 100% Level, Vol-Adjusted Combined Signal, Zero Line, Upper Bound, Lower Bound, Bollinger 5 Signal, Bollinger 10 Signal, Bollinger 20 Signal, Bollinger 50 Signal, Bollinger 100 Signal, Distance to High 5 Signal, Distance to High 10 Signal, Distance to High 20 Signal, Distance to High 50 Signal, Distance to High 100 Signal, SMA 4/8 Crossover Signal, SMA 8/32 Crossover Signal, SMA 16/64 Crossover Signal, SMA 32/128 Crossover Signal, EMA 4/8 Crossover Signal, EMA 8/32 Crossover Signal, EMA 16/64 Crossover Signal, EMA 32/128 Crossover Signal, Zero Line (Individual), Upper Bound (Individual), Lower Bound (Individual)
2024-3-4, 00:00:00.000000, 2.6646, 2.7876, 2.6479, 2.7328, 61630881792, 0, 2.7082, 2.7228, 2.7178, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-5, 00:00:00.000000, 2.7333, 2.7629, 2.1612, 2.5951, 95388303360, 0, 2.5631, 2.5064, 2.4620, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-6, 00:00:00.000000, 2.5952, 2.8303, 2.5589, 2.6841, 85399871488, 0, 2.6671, 2.6911, 2.6946, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-7, 00:00:00.000000, 2.6846, 2.7687, 2.6586, 2.7557, 45163077632, 0, 2.7169, 2.7277, 2.7136, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-8, 00:00:00.000000, 2.7556, 2.8499, 2.6806, 2.8370, 51339214848, 0, 2.7808, 2.7892, 2.7652, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-9, 00:00:00.000000, 2.8358, 2.9200, 2.7765, 2.8813, 45781893120, 0, 2.8534, 2.8593, 2.8482, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-10, 00:00:00.000000, 2.8809, 2.8876, 2.7656, 2.8216, 35865546752, 0, 2.8389, 2.8249, 2.8266, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-11, 00:00:00.000000, 2.8214, 3.3582, 2.7227, 3.2925, 293938233344, 0, 3.0487, 3.1245, 3.0405, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-12, 00:00:00.000000, 3.2926, 4.2457, 3.2634, 4.0718, 605544513536, 0, 3.7184, 3.8603, 3.7545, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2024-3-13, 00:00:00.000000, 4.0697, 4.6265, 4.0141, 4.3177, 460550471680, 0, 4.2570, 4.3194, 4.3203, 0, 0, 0.00, 0.00, 20.00, 50.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
