Date, Time, Open, High, Low, Last, Volume, OpenInt, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Annualized Volatility (%), Smoothed Volatility (%), 20% Level, 50% Level, 100% Level, Vol-Adjusted Combined Signal, Zero Line, Upper Bound, Lower Bound, Bollinger 5 Signal, Bollinger 10 Signal, Bollinger 20 Signal, Bollinger 50 Signal, Bollinger 100 Signal, Distance to High 5 Signal, Distance to High 10 Signal, Distance to High 20 Signal, Distance to High 50 Signal, Distance to High 100 Signal, SMA 4/8 Crossover Signal, SMA 8/32 Crossover Signal, SMA 16/64 Crossover Signal, SMA 32/128 Crossover Signal, EMA 4/8 Crossover Signal, EMA 8/32 Crossover Signal, EMA 16/64 Crossover Signal, EMA 32/128 Crossover Signal, Zero Line (Individual), Upper Bound (Individual), Lower Bound (Individual)
2020-12-21, 00:00:00.000000,3.8,3.9,3.4,3.5,1.38224E+11,0,3.6,3.6,3.6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-22, 00:00:00.000000,3.5,3.8,3.3,3.7,1.83827E+11,0,3.6,3.6,3.5,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-23, 00:00:00.000000,3.7,3.8,3.3,3.3,1.89481E+11,0,3.5,3.5,3.6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-24, 00:00:00.000000,3.3,3.5,3.2,3.5,1.5535E+11,0,3.4,3.4,3.3,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-25, 00:00:00.000000,3.5,4.1,3.4,3.5,1.3068E+11,0,3.6,3.7,3.7,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-26, 00:00:00.000000,3.5,3.6,3.4,3.4,1.11245E+11,0,3.5,3.5,3.5,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27, 00:00:00.000000,3.4,3.8,3.4,3.6,1.92402E+11,0,3.5,3.6,3.6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28, 00:00:00.000000,3.6,3.9,3.6,3.7,1.51048E+11,0,3.7,3.8,3.8,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29, 00:00:00.000000,3.7,3.8,3.5,3.7,1.42125E+11,0,3.7,3.7,3.7,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30, 00:00:00.000000,3.7,4.4,3.6,4.2,2.7151E+11,0,4,4.1,4,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31, 00:00:00.000000,4.2,5.3,3.9,5.2,4.97559E+11,0,4.6,4.8,4.6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01, 00:00:00.000000,5.2,5.3,4.6,4.7,2.83474E+11,0,4.9,4.9,4.9,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02, 00:00:00.000000,4.7,5.2,4.5,4.9,3.48287E+11,0,4.8,4.8,4.8,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03, 00:00:00.000000,4.9,5.7,4.7,5.5,3.65874E+11,0,5.2,5.3,5.2,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04, 00:00:00.000000,5.5,6.2,4.9,5.4,3.39798E+11,0,5.5,5.5,5.6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05, 00:00:00.000000,5.4,6.6,5.2,6.3,2.59698E+11,0,5.9,6,5.9,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06, 00:00:00.000000,6.3,6.6,6,6.4,1.65399E+11,0,6.3,6.4,6.3,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07, 00:00:00.000000,6.4,6.8,6,6.3,1.80091E+11,0,6.4,6.4,6.4,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08, 00:00:00.000000,6.3,6.4,5.5,5.9,1.99098E+11,0,6,5.9,5.9,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09, 00:00:00.000000,5.9,6.4,5.7,6.2,1.40368E+11,0,6,6.1,6,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10, 00:00:00.000000,6.2,6.6,5.6,6,1.64625E+11,0,6.1,6,6.1,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11, 00:00:00.000000,6,6,4.4,5.2,2.47171E+11,0,5.4,5.2,5.2,0,0,0,0,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12, 00:00:00.000000,5.2,5.8,5,5.6,1.56621E+11,0,5.4,5.5,5.4,0,0,169.19,101.51,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13, 00:00:00.000000,5.6,6.4,5.3,6.3,1.45507E+11,0,5.9,6,5.8,0,0,169.38,169.3,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14, 00:00:00.000000,6.3,7.1,6.2,7,1.94111E+11,0,6.7,6.8,6.7,0,0,164.8,200.47,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15, 00:00:00.000000,7,7.5,6.4,7.4,2.48011E+11,0,7.1,7.1,7,0,0,166.55,199.73,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16, 00:00:00.000000,7.4,9.4,7.2,8.4,2.33534E+11,0,8.1,8.3,8.3,0,0,165.75,165.19,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17, 00:00:00.000000,8.4,9.2,8.1,8.7,1.85742E+11,0,8.6,8.7,8.6,0,0,168.13,166.61,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18, 00:00:00.000000,8.7,9.9,8.3,9.2,1.7094E+11,0,9,9.1,9.1,0,0,168.2,168.36,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19, 00:00:00.000000,9.2,9.7,8.5,8.6,1.42922E+11,0,9,8.9,9.1,0,0,168.22,168.53,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20, 00:00:00.000000,8.6,9.1,7.7,9,1.77326E+11,0,8.6,8.6,8.4,0,0,172.7,171.4,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21, 00:00:00.000000,9,9.1,7.3,7.6,1.82892E+11,0,8.2,8,8.2,0,0,168.85,170.41,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22, 00:00:00.000000,7.6,9,7,8.7,1.90682E+11,0,8.1,8.3,8,0,0,164.11,166.91,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23, 00:00:00.000000,8.7,9.6,8.5,9.3,1.01857E+11,0,9,9.1,9,0,0,165.11,164.84,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24, 00:00:00.000000,9.4,12.3,9.2,12.1,2.3258E+11,0,10.7,11.2,10.7,0,0,165.94,163.89,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25, 00:00:00.000000,12.1,12.9,10.9,11.3,2.27424E+11,0,11.8,11.7,11.9,0,0,191.78,180.69,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26, 00:00:00.000000,11.3,14.3,11.2,13.9,3.74881E+11,0,12.7,13.1,12.7,0,0,194.98,194.06,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27, 00:00:00.000000,13.9,15.5,13,14.7,3.65905E+11,0,14.3,14.4,14.3,0,0,204.88,206.25,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28, 00:00:00.000000,14.7,15.4,13.5,14.1,2.59222E+11,0,14.4,14.3,14.5,0,0,204.8,210.64,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29, 00:00:00.000000,14.1,15.8,14.1,15.7,2.15053E+11,0,14.9,15.2,14.9,0,0,206,208.14,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30, 00:00:00.000000,15.7,19.7,15.1,19.6,2.36018E+11,0,17.5,18.1,17.4,0,0,202.21,205.69,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31, 00:00:00.000000,19.6,20.6,17.4,17.8,2.56714E+11,0,18.8,18.6,19,0,0,217.3,211.49,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01, 00:00:00.000000,17.7,20.8,16.7,20.5,2.01865E+11,0,18.9,19.3,18.8,0,0,222.54,219.92,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02, 00:00:00.000000,20.5,20.7,18.1,19,1.56489E+11,0,19.6,19.3,19.4,0,0,211.01,217.88,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03, 00:00:00.000000,19,20.6,18.7,19.8,1.48493E+11,0,19.5,19.7,19.7,0,0,219.22,220,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04, 00:00:00.000000,19.8,21.7,19,20.1,1.90698E+11,0,20.2,20.3,20.4,0,0,217.46,216.91,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05, 00:00:00.000000,20.2,22.7,19.6,21.2,1.65231E+11,0,20.9,21.2,21.1,0,0,217.51,216.82,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-06, 00:00:00.000000,21.2,21.8,19.2,19.3,1.55729E+11,0,20.4,20.1,20.5,0,0,217.52,218.81,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07, 00:00:00.000000,19.3,19.7,17.1,18.7,1.47516E+11,0,18.7,18.5,18.4,0,0,222.46,220.14,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08, 00:00:00.000000,18.7,20.3,18.1,19.4,1.44999E+11,0,19.1,19.3,19.2,0,0,224.71,223.82,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09, 00:00:00.000000,19.4,20,19,19.6,1.16421E+11,0,19.5,19.5,19.5,0,0,224.62,225.64,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10, 00:00:00.000000,19.6,22.5,19.5,20.7,1.77971E+11,0,20.6,20.9,21,0,0,220.36,223.5,20,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
